region,riverBasin,Variable,2020,2060
Australia_NZ,AusCstE,Unmanaged_Pasture,30.39298922,28.48315489
Australia_NZ,AusCstE,Shrubland,2.799368,2.731818
Australia_NZ,AusCstN,Cropland,0.018465733,0.029694559
Australia_NZ,AusCstN,Managed_Forest,0.0626306,0.0895047
Australia_NZ,AusCstN,Unmanaged_Forest,0.2011131,0.1935241
Australia_NZ,AusCstN,Grassland,27.07237057,26.93749267
Australia_NZ,AusCstN,OtherArable,0.201787,0.198496
Australia_NZ,AusCstN,OtherNotArable,0.059543,0.059543
Australia_NZ,AusCstN,Managed_Pasture,1.705554561,2.92169917
Australia_NZ,AusCstN,Unmanaged_Pasture,92.27530959,91.39187289
Australia_NZ,AusCstN,Shrubland,45.17934,44.95424
Australia_NZ,AusCstS,Cropland,3.37538907,4.380006793
Australia_NZ,AusCstS,Managed_Forest,0.00884985,0.0113751
Australia_NZ,AusCstS,Unmanaged_Forest,0.02907502,0.028232
Australia_NZ,AusCstS,Grassland,9.0023,8.86752
Australia_NZ,AusCstS,OtherArable,2.22789,1.91862
Australia_NZ,AusCstS,OtherNotArable,0.1019508,0.1019508
Australia_NZ,AusCstS,Managed_Pasture,0.210087,0.313954
Australia_NZ,AusCstS,Unmanaged_Pasture,11.6269,11.2934
Australia_NZ,AusCstS,Shrubland,22.21904,21.8864
Australia_NZ,AusCstW,Cropland,7.913361922,10.61513053
Australia_NZ,AusCstW,Managed_Forest,0.00674685,0.00945029
Australia_NZ,AusCstW,Unmanaged_Forest,0.0217277,0.0208374
Australia_NZ,AusCstW,Grassland,5.170278909,5.107286045
Australia_NZ,AusCstW,OtherArable,4.987105592,4.555479166
Australia_NZ,AusCstW,OtherNotArable,0.129312403,0.129312403
Australia_NZ,AusCstW,Managed_Pasture,0.816455,1.232146
Australia_NZ,AusCstW,Unmanaged_Pasture,44.88385979,42.37661591
Australia_NZ,AusCstW,Shrubland,9.63999,9.52253
Australia_NZ,AusInt,Cropland,0.606278114,0.870060885
Australia_NZ,AusInt,Managed_Forest,0,0
Australia_NZ,AusInt,Unmanaged_Forest,0,0
Australia_NZ,AusInt,Grassland,55.93883059,55.75838557
Australia_NZ,AusInt,OtherArable,0.634551,0.589357
Australia_NZ,AusInt,OtherNotArable,1.21859007,1.21859007
Australia_NZ,AusInt,Managed_Pasture,1.7943871,2.998492
Australia_NZ,AusInt,Unmanaged_Pasture,97.5631849,96.79211479
Australia_NZ,AusInt,Shrubland,147.7256,147.2544
EU-12,BalticSea,Cropland,1.364238291,1.659656402
EU-12,BalticSea,Managed_Forest,1.7638,2.1761
EU-12,BalticSea,Unmanaged_Forest,2.04912,1.69428
EU-12,BalticSea,Grassland,1.57899,1.40444
EU-12,BalticSea,OtherArable,0.423829,0.357641
EU-12,BalticSea,OtherNotArable,0.0474849,0.0474849
EU-12,BalticSea,Managed_Pasture,0.018422,0.0239509
EU-12,BalticSea,Unmanaged_Pasture,0.642759,0.525099
Russia,BalticSea,Cropland,0.103794432,0.15189216
Russia,BalticSea,Managed_Forest,0.0982528,0.138907
Russia,BalticSea,Unmanaged_Forest,1.3042023,1.2381423
Russia,BalticSea,Grassland,0.2886494,0.2778974
Russia,BalticSea,OtherArable,0.0797396,0.0724143
Russia,BalticSea,OtherNotArable,0.023819,0.023819
Russia,BalticSea,Managed_Pasture,0.00133532,0.00165204
Russia,BalticSea,Unmanaged_Pasture,0.07957622,0.07464842
Russia,BarentsSea,Cropland,0.229901303,1.172109057
Russia,BarentsSea,Managed_Forest,2.83045,3.74203
Russia,BarentsSea,Unmanaged_Forest,38.1724,36.7211
Russia,BarentsSea,Grassland,10.40544,10.13949
Russia,BarentsSea,OtherArable,4.02E-04,3.60E-04
Russia,BarentsSea,OtherNotArable,7.225418,7.225418
Russia,BarentsSea,Managed_Pasture,1.17E-04,1.36E-04
Russia,BarentsSea,Unmanaged_Pasture,0.00710291,0.00681063
Russia,BarentsSea,Shrubland,5.32997,5.19374
India,BengalBay,Cropland,0.08624506,0.28828729
India,BengalBay,Managed_Forest,0.9473,0.765362
India,BengalBay,Unmanaged_Forest,0.01893747,0.01142357
India,BengalBay,Grassland,0.02099332,0.013586357
India,BengalBay,OtherArable,0.008979841,0.004334111
India,BengalBay,OtherNotArable,1.48E-04,1.48E-04
India,BengalBay,Managed_Pasture,7.56E-05,1.49E-04
India,BengalBay,Unmanaged_Pasture,0.001154855,5.44E-04
